Nome Comercial;Princípio Ativo;Fabricante
Abamex;Abamectina;Nortox
Abamex;Abamectina;Nortox
Acarit;Propargite;Adama
Acehero;Acefato;IHARA
Acehero;Acefato;IHARA
Acehero;Acefato;IHARA
Ácido Bórico;Boro;Diversos
Ácido Bórico;Boro;Diversos
Actara;Tiametoxam;Syngenta
Actara;Tiametoxam;Syngenta
Actara;Tiametoxam;Syngenta
Agral;Nonil fenol etoxilado;Syngenta
Agral;Nonil fenol etoxilado;Syngenta
Agr'óleo;Óleo vegetal;Agrolatino
Agr'óleo;Óleo vegetal;Agrolatino
Ally;Metsulfurom-metílico;Corteva
Ally;Metsulfurom-metílico;Corteva
Ally;Metsulfurom-metílico;Corteva
Aminol 806;2,4-D;UPL
Aminol 806;2,4-D;UPL
Aminol 806;2,4-D;UPL
Aminon 25;Aminoácidos;Ajinomoto
Amistar Top;Azoxistrobina + Difenoconazol;Syngenta
Amistar Top;Azoxistrobina + Difenoconazol;Syngenta
Amistar Top;Azoxistrobina + Difenoconazol;Syngenta
Ampligo;Clorantraniliprole + Lambda-cialotrina;Syngenta
Ampligo;Clorantraniliprole + Lambda-cialotrina;Syngenta
Ampligo;Clorantraniliprole + Lambda-cialotrina;Syngenta
Aproach Power;Picoxistrobina + Ciproconazol;Corteva
Aproach Power;Picoxistrobina + Ciproconazol;Corteva
Aproach Prima;Picoxistrobina + Ciproconazol;Corteva
Aproach Prima;Picoxistrobina + Ciproconazol;Corteva
Aproach Prima;Picoxistrobina + Ciproconazol;Corteva
Arsenal NA;Imazapir;BASF
Arsenal NA;Imazapir;BASF
Assist;Óleo mineral;BASF
Assist;Óleo mineral;BASF
Assist;Óleo mineral;BASF
Ativum;Epoxiconazol + Fluxapiroxade + Piraclostrobina;BASF
Ativum;Epoxiconazol + Fluxapiroxade + Piraclostrobina;BASF
Ativum;Epoxiconazol + Fluxapiroxade + Piraclostrobina;BASF
Attach;Óleo mineral;IHARA
Attach;Óleo mineral;IHARA
Aureo;Éster metílico de soja;Bayer
Aureo;Éster metílico de soja;Bayer
Aureo;Éster metílico de soja;Bayer
Aurora;Carfentrazona-etílica;FMC
Aurora;Carfentrazona-etílica;FMC
Aurora;Carfentrazona-etílica;FMC
Authority;Azoxistrobina + Fluindapir;FMC
Authority;Azoxistrobina + Fluindapir;FMC
Authority;Azoxistrobina + Fluindapir;FMC
Basfoliar Ative;Bioestimulante;Compo Expert
Basfoliar Boro;Boro;Compo Expert
Basfoliar Boro;Boro;Compo Expert
Basfoliar Kelp;Extrato de algas;Compo Expert
Basfoliar Zinco;Zinco;Compo Expert
Basfoliar Zinco;Zinco;Compo Expert
Belt;Flubendiamida;Bayer
Belt;Flubendiamida;Bayer
Belt;Flubendiamida;Bayer
Benevia;Ciantraniliprole;FMC
Benevia;Ciantraniliprole;FMC
Benevia;Ciantraniliprole;FMC
Biozyme;Extrato vegetal;Arysta
Biozyme;Extrato vegetal;Arysta
Biozyme;Extrato vegetal;Arysta
Blackjak;Leonardita;Tradecorp
Booster;Nutrientes foliares;Adubos Real
Booster;Nutrientes foliares;Adubos Real
Boral;Sulfentrazona;FMC
Boral;Sulfentrazona;FMC
Boral;Sulfentrazona;FMC
Bravonil;Clorotalonil;Sipcam Nichino
Bravonil;Clorotalonil;Sipcam Nichino
Bravonil;Clorotalonil;Sipcam Nichino
Break Thru;Organossiliconado;Evonik
Break Thru;Organossiliconado;Evonik
Calcinit;Nitrato de cálcio;Yara
Callisto;Mesotriona;Syngenta
Callisto;Mesotriona;Syngenta
Callisto;Mesotriona;Syngenta
Carbendazim Nortox;Carbendazim;Nortox
Carbendazim Nortox;Carbendazim;Nortox
Cellerate;Fósforo + molibdênio;Stoller
Cellerate;Fósforo + molibdênio;Stoller
Cercobin;Tiofanato-metílico;IHARA
Cercobin;Tiofanato-metílico;IHARA
Cercobin;Tiofanato-metílico;IHARA
Certero;Triflumurom;IHARA
Certero;Triflumurom;IHARA
Certero;Triflumurom;IHARA
Classic;Clorimurom-etílico;Corteva
Classic;Clorimurom-etílico;Corteva
Classic;Clorimurom-etílico;Corteva
Classic EC;Clorimurom-etílico;Corteva
Cloreto de Potássio;Potássio;Diversos
Cloreto de Potássio;Potássio;Diversos
Cobox;Oxicloreto de cobre;IHARA
Cobox;Oxicloreto de cobre;IHARA
Cobox;Oxicloreto de cobre;IHARA
Codabor;Boro;Tradecorp
Codabor;Boro;Tradecorp
Codamix;Aminoácidos;Tradecorp
Codamol;Molibdênio;Tradecorp
Codamol;Molibdênio;Tradecorp
Codazinc;Zinco;Tradecorp
Codazinc;Zinco;Tradecorp
Combine;Atrazina;Sipcam Nichino
Combine 500 SC;Atrazina;Adama
Comet;Piraclostrobina;BASF
Comet;Piraclostrobina;BASF
Comet;Piraclostrobina;BASF
CoMo Platinum;Cobalto + Molibdênio;Ubyfol
CoMo Platinum;Cobalto + Molibdênio;Ubyfol
Connect;Imidacloprido + Beta-ciflutrina;Bayer
Connect;Imidacloprido + Beta-ciflutrina;Bayer
Connect;Imidacloprido + Beta-ciflutrina;Bayer
Cronnos;Mancozebe + Picoxistrobina + Tebuconazol;Adama
Cronnos;Mancozebe + Picoxistrobina + Tebuconazol;Adama
Crop Oil;Óleo mineral;Agrolatina
Crucial;Glifosato;Corteva
Crucial;Glifosato;Corteva
Cuprozeb;Mancozebe + cobre;UPL
Cuprozeb;Mancozebe + cobre;UPL
Curbix;Etofenproxi;Sipcam Nichino
Curbix;Etofenproxi;Sipcam Nichino
Curbix;Etofenproxi;Sipcam Nichino
Curyom;Lufenuron + Profenofós;Syngenta
Decis;Deltametrina;Bayer
Decis;Deltametrina;Bayer
Decis;Deltametrina;Bayer
Delegate;Espinetoram;Corteva
Delegate;Espinetoram;Corteva
Delegate;Espinetoram;Corteva
Difere;Difenoconazol;Nortox
Difere;Difenoconazol;Nortox
Dithane;Mancozebe;Corteva
Dithane;Mancozebe;Corteva
Dithane;Mancozebe;Corteva
DMA 806;2,4-D;Adama
DMA 806 BR;2,4-D;Nortox
DMA 806 BR;2,4-D;Nortox
DMA 806 BR;2,4-D;Nortox
Domark Excell;Tetraconazol;Sipcam Nichino
Domark Excell;Tetraconazol;Sipcam Nichino
Domark Excell;Tetraconazol;Sipcam Nichino
Dual Gold;S-Metolacloro;Syngenta
Dual Gold;S-Metolacloro;Syngenta
Dual Gold;S-Metolacloro;Syngenta
Elatus;Benzovindiflupir + Azoxistrobina;Syngenta
Elatus;Benzovindiflupir + Azoxistrobina;Syngenta
Elatus;Benzovindiflupir + Azoxistrobina;Syngenta
Elatus Trio;Benzovindiflupir + Protioconazol + Azoxistrobina;Syngenta
Elatus Trio;Benzovindiflupir + Protioconazol + Azoxistrobina;Syngenta
EnerVig;Bioestimulante;Ubyfol
EnerVig;Bioestimulante;Ubyfol
Engeo Full;Tiametoxam + Lambda-cialotrina;Syngenta
Engeo Full;Tiametoxam + Lambda-cialotrina;Syngenta
Engeo Full;Tiametoxam + Lambda-cialotrina;Syngenta
Engeo Pleno;Tiametoxam + Lambda-cialotrina;Syngenta
Engeo Pleno;Tiametoxam + Lambda-cialotrina;Syngenta
Engeo Pleno;Tiametoxam + Lambda-cialotrina;Syngenta
Enxofre Ventilado;Enxofre;Diversos
Evidence;Imidacloprido;Bayer
Evidence;Imidacloprido;Bayer
Evidence;Imidacloprido;Bayer
Evolution;Azoxistrobina + Benzovindiflupir;Syngenta
Evolution;Azoxistrobina + Benzovindiflupir;Syngenta
Fastac Duo;Acetamiprido + Alfa-cipermetrina;BASF
Fastac Duo;Acetamiprido + Alfa-cipermetrina;BASF
Fastac Duo;Acetamiprido + Alfa-cipermetrina;BASF
Fertiactyl;Aminoácidos + extratos vegetais;Timac Agro
Fertiactyl GZ;Aminoácidos + algas;Timac Agro
Fertiactyl GZ;Aminoácidos + algas;Timac Agro
Fertiactyl Pós;Bioativador;Timac Agro
Fertilis Mn;Manganês;Fertilis
Fertilis Phós;Fósforo foliar;Fertilis
Fertilis Supra;Micronutrientes;Fertilis
Fetrilon Combi;Micronutrientes quelatizados;Compo Expert
